ticker,start_date,end_date,days,max_consecutive_days,total_stale_days
IAA,2010-01-08,2018-08-08,3135,2002,2002
TRVI,2012-01-13,2018-05-25,2325,1591,1591
KLR,2009-07-21,2015-07-10,2181,560,1397
WEI,2012-04-24,2018-02-22,2131,1453,3275
INVH,2011-11-21,2017-01-31,1899,1032,1032
GRAF,2013-02-26,2018-03-02,1831,1223,3366
UBX,2013-02-05,2017-03-16,1501,1036,2041
BHR,2002-06-03,2006-05-01,1429,20,547
EAI,2011-11-17,2015-10-05,1419,788,789
CHRS,2011-11-17,2014-07-30,987,631,631
CTAA,2011-11-18,2014-05-28,923,632,1063
NSA,2010-03-22,2012-09-20,914,252,295
FIV,2011-11-18,2014-05-05,900,616,1064
ROAD,2015-03-24,2017-08-29,890,614,1154
SONM,2011-11-17,2014-04-07,873,598,639
GFL,2017-10-17,2020-03-02,868,474,582
TT,2016-04-28,2018-08-16,841,432,1781
HMI,2011-11-18,2014-02-06,812,556,926
OCCI,2014-09-04,2016-11-03,792,426,1236
ERI,2011-06-22,2013-07-08,748,414,679
UBX,2011-01-26,2013-01-31,737,1036,2041
WEI,2002-11-15,2004-10-19,705,1453,3275
DOMO,2013-01-03,2014-11-03,670,462,522
TWLO,2012-03-02,2013-12-10,649,447,866
SPFI,2005-12-16,2007-09-05,629,229,1793
ETON,2013-01-30,2014-07-30,547,348,651
SBE,2012-01-13,2013-07-08,543,327,540
RCP,2011-11-23,2013-05-09,534,363,1190
DUO,2016-04-06,2017-08-09,491,340,408
ANVS,2017-09-19,2019-01-11,480,331,360
YUMA,1993-01-05,1994-04-07,458,319,2485
DUOT,2011-09-08,2012-12-06,456,265,974
HMI,2000-03-15,2001-06-08,451,556,926
ETON,2015-10-22,2016-12-27,433,348,651
LBC,2006-05-16,2007-07-11,422,181,1956
TT,2012-08-31,2013-10-25,421,432,1781
LFVN,1997-05-02,1998-06-25,420,290,2466
BPMX,2013-02-15,2014-04-08,418,287,475
SVA,2019-02-26,2020-04-01,401,278,278
TRT,1993-03-04,1994-04-07,400,278,1268
ICL,2001-04-26,2002-05-28,398,270,1731
CCB,2012-07-03,2013-07-08,371,253,1818
